1:IF #|45.5,#|#|#|64.5,#|#,71.5|#,61.5| THEN  om With Confidence=1.0 and Coverage=0.9444444
2:IF 73.5,#|44.5,55.5|#|#|#|#,47.5|#| THEN  imL With Confidence=1.0 and Coverage=0.5
3:IF 75.5,#|#|#|#|#|72.5,#|#| THEN  imU With Confidence=1.0 and Coverage=0.375
4:IF #,61.5|#,57.5|#|#|#|#|61.5,75.5| THEN  im With Confidence=1.0 and Coverage=0.21428572
5:IF #,48.5|#|#|#|#|#|62.5,75.5| THEN  im With Confidence=1.0 and Coverage=0.2
6:IF 68.5,75.5|#|#|#|#|#|38.5,56.5| THEN  pp With Confidence=1.0 and Coverage=0.12765957
7:IF #|#|#|#|#|#|88.5,#| THEN  im With Confidence=1.0 and Coverage=0.1
8:IF #|#,2.0|#|#|#|#|#| THEN  pp With Confidence=1.0 and Coverage=0.021276595
9:IF #,55.5|#|#|#|#|10.0,37.5|#| THEN  cp With Confidence=0.9880952 and Coverage=0.6484375
10:IF #,55.5|#,57.5|#|#|#|#,45.5|#,68.5| THEN  cp With Confidence=0.97321427 and Coverage=0.8515625
11:IF #,55.5|#,57.5|#|#|#|#,57.5|#,68.5| THEN  cp With Confidence=0.96747965 and Coverage=0.9296875
12:IF #|#|#|#|#|10.0,31.5|#| THEN  cp With Confidence=0.96363634 and Coverage=0.4140625
13:IF #,56.5|#,57.5|#|#|#|#,58.5|#,61.5| THEN  cp With Confidence=0.96 and Coverage=0.9375
14:IF #,55.5|#,60.0|#|#|#|1.5,57.5|#,62.5| THEN  cp With Confidence=0.96 and Coverage=0.9375
15:IF #,51.5|#|#|#|#|#,45.5|#| THEN  cp With Confidence=0.95454544 and Coverage=0.8203125
16:IF 56.5,76.5|55.5,#|#|#|#,63.5|#|#,56.5| THEN  pp With Confidence=0.9444444 and Coverage=0.7234042
17:IF #,62.5|#,57.5|#|#|#|#,57.5|#,68.5| THEN  cp With Confidence=0.9389313 and Coverage=0.9609375
18:IF #|60.0,#|#|#|#,64.5|#,56.5|#| THEN  pp With Confidence=0.9354839 and Coverage=0.61702126
19:IF #,57.5|#| 48.0,#|#|#|57.5,#|#| THEN  im With Confidence=0.9347826 and Coverage=0.6142857
20:IF #,61.5|#,57.5|#|#|#|1.5,57.5|#| THEN  cp With Confidence=0.9111111 and Coverage=0.9609375
21:IF #|#|#|#|#|10.0,37.5|#| THEN  cp With Confidence=0.9072165 and Coverage=0.6875
22:IF #,48.5|#|#|#|#|60.0,#|#| THEN  im With Confidence=0.9047619 and Coverage=0.54285717
23:IF #,56.5|#|#|#|#|60.0,#|#| THEN  im With Confidence=0.8958333 and Coverage=0.6142857
24:IF #|#|#|#|#|10.0,38.5|#| THEN  cp With Confidence=0.8942308 and Coverage=0.7265625
25:IF 74.5,#|#|#|#|#|57.5,#|#| THEN  imU With Confidence=0.8888889 and Coverage=0.5
26:IF #|#,57.5|#|#|#|#,52.5|#,61.5| THEN  cp With Confidence=0.8865248 and Coverage=0.9765625
27:IF 41.5,#|55.5,#|#|#|#,63.5|#|#,61.5| THEN  pp With Confidence=0.875 and Coverage=0.7446808
28:IF #|#,57.5|#|#|#|1.5,55.5|#,61.5| THEN  cp With Confidence=0.8630137 and Coverage=0.984375
29:IF #|#|#|#|#|#|84.5,#| THEN  im With Confidence=0.8125 and Coverage=0.18571429
30:IF 55.5,76.5|#|#| 5.0,#|#,64.5|#,57.5|#,68.5| THEN  pp With Confidence=0.75 and Coverage=0.82978725
31:IF #|#|#|#|#|#|62.5,74.5| THEN  im With Confidence=0.73333335 and Coverage=0.31428573
32:IF 56.5,#|#|#|#|#|71.5,83.0|#| THEN  imU With Confidence=0.72 and Coverage=0.5625

1:IF 84.5,#|#|#|#|#|10.0,57.5|#| THEN  imS With Confidence=1.0 and Coverage=1.0
2:IF 56.5,#|#|#, 1.0|#|#|54.5,#|#| THEN  omL With Confidence=1.0 and Coverage=0.75
3:IF #|56.5,#|#|#|63.5,#|#|#,56.5| THEN  om With Confidence=1.0 and Coverage=0.7222222
4:IF #|#|#, 1.0|#|#|10.0,48.5|#| THEN  imL With Confidence=1.0 and Coverage=0.5
5:IF #|#|#, 1.0|#|#|#|80.0,#| THEN  imL With Confidence=1.0 and Coverage=0.5
6:IF #|66.5,#|#|#|#,44.5|#|#| THEN  pp With Confidence=1.0 and Coverage=0.42553192
7:IF 75.5,#|#|#|#|#|72.5,#|#| THEN  imU With Confidence=1.0 and Coverage=0.375
8:IF #|#|#|#|#|31.5,#|#,1.5| THEN  omL With Confidence=1.0 and Coverage=0.25
9:IF #|#, 1.0|#|#|#|#|#| THEN  pp With Confidence=1.0 and Coverage=0.021276595
10:IF #,55.5|#|#|#|#|10.0,45.5|#| THEN  cp With Confidence=0.9897959 and Coverage=0.7578125
11:IF #,55.5|#,57.5|#|#|#|10.0,57.5|#| THEN  cp With Confidence=0.9818182 and Coverage=0.84375
12:IF #,55.5|#,57.5|#|#|#,64.5|#,58.5|#,61.5| THEN  cp With Confidence=0.9747899 and Coverage=0.90625
13:IF #,56.5|#,57.5|#|#|#|10.0,56.0|#| THEN  cp With Confidence=0.9734513 and Coverage=0.859375
14:IF #,57.5|#,60.0|#|#|#|58.5,81.5|#| THEN  im With Confidence=0.9705882 and Coverage=0.47142857
15:IF #,55.5|#,57.5|#|#|#|1.5,58.5|#,61.5| THEN  cp With Confidence=0.9672131 and Coverage=0.921875
16:IF #|#|#|#|#|10.0,31.5|#| THEN  cp With Confidence=0.9655172 and Coverage=0.4375
17:IF #,55.5|#|#|#|#|10.0,57.5|#| THEN  cp With Confidence=0.96460176 and Coverage=0.8515625
18:IF #,62.5|#,57.5|#|#|#|10.0,57.5|#| THEN  cp With Confidence=0.9576271 and Coverage=0.8828125
19:IF #,56.5|#|#|#|#|71.5,81.5|#| THEN  im With Confidence=0.95652175 and Coverage=0.31428573
20:IF #,55.5|#|#|#|#|#,48.5|#| THEN  cp With Confidence=0.9491525 and Coverage=0.875
21:IF #,56.5|#|#|#|#|60.0,81.5|#| THEN  im With Confidence=0.9459459 and Coverage=0.5
22:IF #|#|#|#|#|10.0,33.5|#| THEN  cp With Confidence=0.9444444 and Coverage=0.53125
23:IF 56.5,#|57.5,#|#|#|#,63.5|#|#,61.5| THEN  pp With Confidence=0.93939394 and Coverage=0.65957445
24:IF #,61.5|#,57.5|#|#|#|#,58.5|#,66.5| THEN  cp With Confidence=0.9389313 and Coverage=0.9609375
25:IF 52.5,82.0|#|#|#|64.5,#|#|#,64.0| THEN  om With Confidence=0.93333334 and Coverage=0.7777778
26:IF #,56.5|#,60.0|#|#|#|60.0,#|#| THEN  im With Confidence=0.9302326 and Coverage=0.5714286
27:IF 55.5,#|55.5,#|#|#|#,63.5|#|1.5,68.5| THEN  pp With Confidence=0.92105263 and Coverage=0.7446808
28:IF #,57.5|#,67.5|#|#|#|57.5,#|#| THEN  im With Confidence=0.9166667 and Coverage=0.62857145
29:IF #,61.5|#,57.5|#|#|#|#,56.0|#| THEN  cp With Confidence=0.9111111 and Coverage=0.9609375
30:IF #|#|#|#|#|#|87.5,#| THEN  im With Confidence=0.90909094 and Coverage=0.14285715
31:IF #|#|#|#|#|10.0,38.5|#| THEN  cp With Confidence=0.90654206 and Coverage=0.7578125
32:IF #,65.5|#,57.5|#|#|#|1.5,58.5|#,64.0| THEN  cp With Confidence=0.89285713 and Coverage=0.9765625
33:IF 56.5,#|#,55.5|#|#|#|72.5,81.5|#| THEN  imU With Confidence=0.8888889 and Coverage=0.5
34:IF #,61.5|#,67.5|#|#|#|58.5,#|#| THEN  im With Confidence=0.8867925 and Coverage=0.67142856
35:IF #,67.5|#,60.0|#|#|#|1.5,57.5|#,61.5| THEN  cp With Confidence=0.87586206 and Coverage=0.9921875
36:IF 57.5,#|#,56.5|#|#|#|71.5,81.5|#| THEN  imU With Confidence=0.85 and Coverage=0.53125
37:IF #,63.5|#|#|#|#|60.0,#|#| THEN  im With Confidence=0.83870965 and Coverage=0.74285716
38:IF 75.5,#|#|#|#|#|56.0,#|#| THEN  imU With Confidence=0.8333333 and Coverage=0.46875
39:IF #|#|#|#|#|1.5,38.5|#| THEN  cp With Confidence=0.8 and Coverage=0.84375
40:IF #,76.5|#|#|#|#|61.5,#|#| THEN  im With Confidence=0.7671233 and Coverage=0.8
41:IF 58.5,#|#|#|#|#,64.5|#,58.5|#,61.5| THEN  pp With Confidence=0.7307692 and Coverage=0.80851066
42:IF 55.5,#|#,55.5|#|#|#|60.0,81.5|#| THEN  imU With Confidence=0.7241379 and Coverage=0.65625

1:IF 48.5,#|#|#|#|71.5,#|1.5,60.0|#| THEN  om With Confidence=1.0 and Coverage=0.6666667
2:IF #|53.5,#|#|#|63.5,#|1.5,57.5|#| THEN  om With Confidence=1.0 and Coverage=0.6666667
3:IF 61.5,#|60.0,#|#|#|#,60.0|1.5,66.5|#| THEN  pp With Confidence=1.0 and Coverage=0.5744681
4:IF 78.5,#|#|#|#|#|36.5,54.5|#| THEN  imS With Confidence=1.0 and Coverage=0.5
5:IF 55.5,68.5|#|#|#|#|54.5,57.5|#| THEN  omL With Confidence=1.0 and Coverage=0.5
6:IF #|#|#|#|74.5,#|1.5,60.0|#| THEN  om With Confidence=1.0 and Coverage=0.5
7:IF 9.0,55.5|#,60.0|#|#|#|55.5,#|#| THEN  im With Confidence=1.0 and Coverage=0.41428572
8:IF 9.0,48.5|#|#|#|#|57.5,#|#| THEN  im With Confidence=1.0 and Coverage=0.37142858
9:IF 75.5,#|#|#|#|#|75.5,#|#| THEN  imU With Confidence=1.0 and Coverage=0.34375
10:IF #|#|#|#|#|#|#, 0.0| THEN  cp With Confidence=1.0 and Coverage=0.0078125
11:IF 9.0,55.5|#|#|#|#|56.5,#|#| THEN  im With Confidence=0.969697 and Coverage=0.45714286
12:IF #,56.5|#,57.5|#|#|#|10.0,60.0|#| THEN  cp With Confidence=0.9649123 and Coverage=0.859375
13:IF #,55.5|#,60.0|#|#|#|60.0,#|#| THEN  im With Confidence=0.95238096 and Coverage=0.5714286
14:IF #,56.5|#,57.5|#|#|#,60.0|#,56.5|#| THEN  cp With Confidence=0.9508197 and Coverage=0.90625
15:IF #|#,55.5|#|#|#|10.0,48.5|#| THEN  cp With Confidence=0.9459459 and Coverage=0.8203125
16:IF #,55.5|#,57.5|#|#|#|#,58.5|#| THEN  cp With Confidence=0.944 and Coverage=0.921875
17:IF #|57.5,#|#|#|#,63.5|#,55.5|#| THEN  pp With Confidence=0.94285715 and Coverage=0.70212764
18:IF #,55.5|#,63.5|#|#|#|60.0,#|#| THEN  im With Confidence=0.9347826 and Coverage=0.6142857
19:IF #,48.5|#|#|#|#|60.0,#|#| THEN  im With Confidence=0.9285714 and Coverage=0.55714285
20:IF 74.5,#|#|#|#|#|71.5,#|#| THEN  imU With Confidence=0.9285714 and Coverage=0.40625
21:IF #,61.5|#,57.5|#|#|#|1.5,55.5|#| THEN  cp With Confidence=0.92537314 and Coverage=0.96875
