1:IF 47.5,77.5|65.5,#|#, 0| THEN  negative With Confidence=1.0 and Coverage=0.1182266
2:IF 50.5,56.5|#|#, 0| THEN  negative With Confidence=1.0 and Coverage=0.073891625
3:IF 56.5,62.5|#|12.5,24.5| THEN  positive With Confidence=1.0 and Coverage=0.055555556
4:IF 42.5,47.5|#|17.5,#| THEN  positive With Confidence=1.0 and Coverage=0.055555556
5:IF #|#|22.5,24.5| THEN  positive With Confidence=1.0 and Coverage=0.041666668
6:IF 50.5,71.5|58.5,#|#, 0| THEN  negative With Confidence=0.96363634 and Coverage=0.26108375
7:IF 47.5,71.5|58.5,#|#, 0| THEN  negative With Confidence=0.93939394 and Coverage=0.30541873
8:IF 47.5,77.5|58.5,#|#, 0| THEN  negative With Confidence=0.92957747 and Coverage=0.32512316
9:IF #,42.5|#,66.5|#| THEN  negative With Confidence=0.9148936 and Coverage=0.21182266
10:IF 50.5,71.5|#|#,0.5| THEN  negative With Confidence=0.9076923 and Coverage=0.29064038
11:IF 50.5,77.5|#|#, 0| THEN  negative With Confidence=0.90140843 and Coverage=0.31527093
12:IF 42.5,77.5|58.5,#|#, 0| THEN  negative With Confidence=0.89534885 and Coverage=0.37931034
13:IF #,77.5|59.5,#|#,5.5| THEN  negative With Confidence=0.83233535 and Coverage=0.68472904
14:IF #,71.5|58.5,#|#,5.5| THEN  negative With Confidence=0.8218391 and Coverage=0.7044335
15:IF 47.5,77.5|#|8.5,17.5| THEN  positive With Confidence=0.8 and Coverage=0.16666667
16:IF #,77.5|#|#,12.5| THEN  negative With Confidence=0.7768595 and Coverage=0.92610836
17:IF #,77.5|#|#| THEN  negative With Confidence=0.74358976 and Coverage=1.0

1:IF #|59.5,60.5|#, 0| THEN  negative With Confidence=1.0 and Coverage=0.04950495
2:IF 44.5,50.5|64.5,65.5|#| THEN  positive With Confidence=1.0 and Coverage=0.04109589
3:IF 43.5,44.5|#|5.5,40.5| THEN  positive With Confidence=1.0 and Coverage=0.04109589
4:IF 77.5,#|#|#| THEN  positive With Confidence=1.0 and Coverage=0.02739726
5:IF 47.5,77.5|58.5,#|#,0.5| THEN  negative With Confidence=0.943662 and Coverage=0.33168316
6:IF 50.5,64.5|#|#,0.5| THEN  negative With Confidence=0.9347826 and Coverage=0.21287128
7:IF 44.5,71.0|58.5,#|#,0.5| THEN  negative With Confidence=0.93421054 and Coverage=0.35148516
8:IF 47.5,71.0|#|#,0.5| THEN  negative With Confidence=0.9066667 and Coverage=0.33663365
9:IF #,40.5|#|#| THEN  negative With Confidence=0.9047619 and Coverage=0.18811882
10:IF #,71.0|58.5,#|#,0.5| THEN  negative With Confidence=0.88349515 and Coverage=0.45049506
11:IF 43.5,77.5|58.5,#|#,2.5| THEN  negative With Confidence=0.8761062 and Coverage=0.490099
12:IF 43.5,66.5|#|8.5,17.5| THEN  positive With Confidence=0.875 and Coverage=0.19178082
13:IF #,71.0|#|#, 0| THEN  negative With Confidence=0.8632479 and Coverage=0.5
14:IF #,77.5|58.5,#|#,2.5| THEN  negative With Confidence=0.8516129 and Coverage=0.65346533
15:IF 43.5,62.5|#,65.5|10.5,40.5| THEN  positive With Confidence=0.84210527 and Coverage=0.21917808
16:IF #,77.5|58.5,#|#,5.5| THEN  negative With Confidence=0.8216216 and Coverage=0.75247526
17:IF #|#|#,22.5| THEN  negative With Confidence=0.7481203 and Coverage=0.9851485
18:IF 40.5,62.5|#|8.5,#| THEN  positive With Confidence=0.7096774 and Coverage=0.30136988

1:IF 47.5,56.5|#|8.5,17.5| THEN  positive With Confidence=1.0 and Coverage=0.1369863
2:IF 47.5,62.5|#|10.5,17.5| THEN  positive With Confidence=1.0 and Coverage=0.1369863
3:IF #|59.5,60.5|#,6.5| THEN  negative With Confidence=1.0 and Coverage=0.10891089
4:IF 78,#|#|#| THEN  positive With Confidence=1.0 and Coverage=0.01369863
5:IF #|#| 35,#| THEN  positive With Confidence=1.0 and Coverage=0.01369863
6:IF 50.5,#|58.5,#|#, 0| THEN  negative With Confidence=0.953125 and Coverage=0.3019802
7:IF 47.5,71.5|58.5,#|#, 0| THEN  negative With Confidence=0.9411765 and Coverage=0.31683168
8:IF 47.5,77.5|#|10.5,17.5| THEN  positive With Confidence=0.9230769 and Coverage=0.16438356
9:IF 50.5,#|#|#,0.5| THEN  negative With Confidence=0.91780823 and Coverage=0.33168316
10:IF 50.5,77.5|#|#,1.5| THEN  negative With Confidence=0.9032258 and Coverage=0.41584158
11:IF #,77.5|#|#,1.5| THEN  negative With Confidence=0.8544304 and Coverage=0.66831684
12:IF #|#|20.5,24.5| THEN  positive With Confidence=0.75 and Coverage=0.08219178
13:IF #,77.5|#|#| THEN  negative With Confidence=0.73722625 and Coverage=1.0

1:IF 50.5,71.5|58.5,64.5|#, 0| THEN  negative With Confidence=1.0 and Coverage=0.14851485
2:IF #,42.5|#|0.5,8.5| THEN  negative With Confidence=1.0 and Coverage=0.0990099
3:IF 77.5,#|#|#| THEN  positive With Confidence=1.0 and Coverage=0.02739726
4:IF 50.5,71.5|58.5,#|#,0.5| THEN  negative With Confidence=0.9649123 and Coverage=0.27227724
5:IF 50.5,71.5|#|#, 0| THEN  negative With Confidence=0.92424244 and Coverage=0.3019802
6:IF 50.5,#|#|#,0.5| THEN  negative With Confidence=0.91780823 and Coverage=0.33168316
7:IF 41.5,77.5|58.5,#|#,0.5| THEN  negative With Confidence=0.8804348 and Coverage=0.4009901
8:IF #|59.5,#|#, 0| THEN  negative With Confidence=0.8761905 and Coverage=0.45544556
9:IF 50.5,71.5|#|10.5,16.5| THEN  positive With Confidence=0.875 and Coverage=0.09589041
10:IF #,71.5|#|#, 0| THEN  negative With Confidence=0.8595041 and Coverage=0.5148515
11:IF 40.5,56.5|#,65.5|8.5,#| THEN  positive With Confidence=0.85 and Coverage=0.23287672
12:IF #,77.5|#|#,2.5| THEN  negative With Confidence=0.8435754 and Coverage=0.74752474
13:IF #,77.5|#|#,10.5| THEN  negative With Confidence=0.7923729 and Coverage=0.92574257
14:IF #,77.5|#|#,16.5| THEN  negative With Confidence=0.7677165 and Coverage=0.9653465
15:IF 40.5,#|#,65.5|8.5,#| THEN  positive With Confidence=0.76666665 and Coverage=0.31506848
16:IF #,77.5|#|#| THEN  negative With Confidence=0.73992676 and Coverage=1.0

1:IF 47.5,62.5|#|10.5,15.5| THEN  positive With Confidence=1.0 and Coverage=0.12328767
2:IF 47.5,#|65.5,#|#,0.5| THEN  negative With Confidence=1.0 and Coverage=0.11881188
3:IF 50.5,56.5|#|#,2.5| THEN  negative With Confidence=0.962963 and Coverage=0.12871288
4:IF 50.5,71.5|58.5,#|#, 0| THEN  negative With Confidence=0.9622642 and Coverage=0.25247526
5:IF #,41.5|#|#,6.5| THEN  negative With Confidence=0.9411765 and Coverage=0.15841584
6:IF 47.5,#|#|10.5,15.5| THEN  positive With Confidence=0.9166667 and Coverage=0.15068494
